,complaint_number,status,date_entered,house_number,house_street,zip_code,bin,community_board,special_district,complaint_category,unit,disposition_date,disposition_code,inspection_date,dobrundate,complaint_description,bis_description
2427,1289640,CLOSED,09/21/2010,93,ALLEN STREET,10002.0,1005463,103,,23,SCFLD,09/21/2010,H3,09/20/2010,20260427000000,Sidewalk Shed/Supported Scaffold/Inadequate/Defect/NONE/NO PMT/NO CERT,Building Violation Issued for Failure to Obey Stop Work Order
2428,3334300,CLOSED,03/03/2010,8640,18 AVENUE,11214.0,3166579,311,,31,BKLYN,01/14/2011,I2,01/10/2011,20260427000000,Certificate of Occupancy – None/ILLEGAL/Contrary to CO,No Violation Warranted for Complaint at Time of Inspection
2429,3074353,CLOSED,09/27/1999,311,AVENUE X,11223.0,3194484,315,,05,BKLYN,11/01/1999,C2,10/18/1999,20260427000000,Permit – None (Building/PA/Demo etc.),Inspector Unable to Gain Access – 2nd Final Attempt
2430,3916885,CLOSED,06/30/2023,62 A,HULL STREET,11233.0,3041820,316,,45,Q-L,06/27/2024,C2,06/26/2024,20260427000000,Illegal Conversion +,Inspector Unable to Gain Access – 2nd Final Attempt
2431,4670172,CLOSED,10/13/2016,86-34,77 STREET,11421.0,4181008,409,,5H,OBM,10/24/2016,W1,10/13/2016,20260427000000,Illegal Activity,Violation Served for Disobeying a Vacate Order
2432,1192263,CLOSED,04/27/2007,880,SAINT NICHOLAS AVENUE,10032.0,1061706,109,,59,ELCTR,05/09/2007,A1,05/08/2007,20260427000000,Electrical Wiring: Defective/Exposed – In Progress,Buildings Violation(s) Served
2433,3515142,CLOSED,05/15/2015,390,EAST 5 STREET,11218.0,3125411,312,,05,SPOPS,12/24/2015,I2,12/19/2015,20260427000000,Permit – None (Building/PA/Demo etc.),No Violation Warranted for Complaint at Time of Inspection
2434,1453516,CLOSED,06/21/2017,36,WEST 66 STREET,10023.0,1028168,107,,86,MAN.,06/23/2017,I1,06/23/2017,20260427000000,Work Contrary to Stop Work Order,Complaint Unsubstantiated Based on Department Records
2435,5110788,CLOSED,06/19/2014,236,WESTERVELT AVENUE,10301.0,5001142,501,,73,ST.IS,07/02/2014,I2,07/01/2014,20260427000000,Failure to Maintain,No Violation Warranted for Complaint at Time of Inspection
2436,4663930,CLOSED,08/19/2016,97-34,103 STREET,11416.0,4197690,409,,45,QNS.,11/28/2016,C4,11/26/2016,20260427000000,Illegal Conversion +,Access Denied – 2nd Attempt
2437,1696199,CLOSED,05/24/2025,1,CONVENT AVENUE,10027.0,1059368,109,,37,ERT,05/25/2025,I2,05/25/2025,20260427000000,Egress: - Locked/Blocked/Improper/No Secondary Means,No Violation Warranted for Complaint at Time of Inspection
2438,5121107,CLOSED,05/03/2016,15,LEONA STREET,10314.0,5030856,502,,35,ST.IS,05/10/2016,I2,05/10/2016,20260427000000,Curb Cut/Driveway/Carport – ILLEGAL,No Violation Warranted for Complaint at Time of Inspection
2439,4209385,CLOSED,12/04/2004,102-33,RAU COURT,11414.0,4296355,410,,03,ERT,12/07/2004,I2,12/06/2004,20260427000000,Adjacent Buildings – Not Protected,No Violation Warranted for Complaint at Time of Inspection
2440,4994337,CLOSED,04/26/2025,104-35,128 STREET,11419.0,4204817,410,,45,Q-L,03/11/2026,C2,03/11/2026,20260427000000,Illegal Conversion +,Inspector Unable to Gain Access – 2nd Final Attempt
