"complaint_number","status","date_entered","house_number","house_street","zip_code","bin","community_board","special_district","complaint_category","unit","disposition_date","disposition_code","inspection_date","dobrundate"
"5174606","CLOSED","11/15/2022","7550","AMBOY ROAD","10307","5175262","503",,"83","ST.IS","01/19/2023","I2","01/18/2023","20260427000000"
"3702031","CLOSED","05/14/2019","470","DEGRAW STREET","11217","3006955","306",,"7G","CSE","05/14/2019","I2","05/14/2019","20260427000000"
"3213148","CLOSED","01/12/2007","2329","NOSTRAND AVENUE","11210","3207055","318",,"14","BKLYN","01/12/2007","I2","01/12/2007","20260427000000"
"3117251","CLOSED","08/11/2003","193","33 STREET","11232","3010138","307",,"87","BKLYN","08/18/2003","I2","08/15/2003","20260427000000"
"2384377","CLOSED","01/15/2024","3757","WHITE PLAINS ROAD","10467","2818409","212",,"15","BRONX","02/22/2024","A8","02/22/2024","20260427000000"
"3944304","CLOSED","01/20/2024","1735","EAST 15 STREET","11229","3183020","315",,"35","BKLYN","11/14/2024","I2","11/14/2024","20260427000000"
"4856514","CLOSED","08/27/2021","50-53","46 STREET","11377","4053259","402",,"65","PLUMB","08/30/2021","C2","08/30/2021","20260427000000"
"2289261","CLOSED","09/24/2019","3500","PARK AVENUE","10456","2129140","203",,"03","BEST","09/26/2019","I2","09/26/2019","20260427000000"
"2053663","CLOSED","08/06/2003","137","EAST  150 STREET","10451","2001063","204",,"73","BRONX","08/19/2003","I2","08/12/2003","20260427000000"
"1281744","CLOSED","05/14/2010","30","PARK AVENUE","10016","1017127","106",,"45","MAN.","05/19/2010","I1","05/19/2010","20260427000000"
"3670090","CLOSED","10/04/2018","1","MASPETH AVENUE","11211","3070197","301",,"91","BEST","11/16/2018","H1","10/10/2018","20260427000000"
"4404157","CLOSED","06/15/2009","3-34","125 STREET","11356","4537211","407",,"83","QNS.","07/15/2009","H1","07/10/2009","20260427000000"
"5122629","CLOSED","07/25/2016","77","HILL STREET","10304","5108863","501",,"63","ELEVR","07/26/2016","G8","07/26/2016","20260427000000"
"1155238","CLOSED","11/22/2005","154","WEST   84 STREET","10024","1084672","107",,"37","ERT","11/25/2005","I2","11/25/2005","20260427000000"
"2134181","CLOSED","08/12/2009","3990","BRONX BOULEVARD","10466","2062854","212",,"63","ELEVR","10/26/2009","H1","10/21/2009","20260427000000"
"5151728","CLOSED","11/10/2020","47","DONGAN STREET","10310","5005327","501",,"1X","ST.IS","11/12/2020","A8","11/10/2020","20260427000000"
"4410755","CLOSED","08/06/2009","31-49","85 STREET","11370","4033856","403",,"05","QNS.","08/18/2009","A8","08/05/2009","20260427000000"
"3228720","CLOSED","06/14/2007","1000","OCEAN PARKWAY","11230","3170829","312",,"73","BKLYN","10/25/2007","I2","10/10/2007","20260427000000"
"3266648","CLOSED","05/29/2008","1364","52 STREET","11219","3138736","312",,"91","BKLYN","05/30/2008","H1","05/30/2008","20260427000000"
"4410186","CLOSED","08/03/2009","103-15","OTIS AVENUE","11368","4463934","404",,"45","QNS.","10/21/2009","C2","10/16/2009","20260427000000"
"1079034","CLOSED","08/24/2000","100","COOPER STREET","10034","1064989","112",,"63","ELEVR","12/13/2000","A1","12/13/2000","20260427000000"
"4936527","CLOSED","09/06/2023","32-01","HARPER STREET","11368","4045010","407",,"73","QNS.","09/06/2023","A1","09/05/2023","20260427000000"
"3334588","CLOSED","03/05/2010","1009","WILLOUGHBY AVENUE","11221","3072490","304",,"59","ELCTR","03/08/2010","A1","03/04/2010","20260427000000"
"4075819","CLOSED","02/26/1998","74-01","13 ELLIOT AVENUE",,"4064341","4",,"05","QNS.","04/22/1998","B1","02/26/1998","20260427000000"
"4898896","CLOSED","08/14/2022","162-03","142 AVENUE","11434","4266949","412",,"30","ERT","08/14/2022","Y1","08/14/2022","20260427000000"
"1571818","CLOSED","05/21/2021","245","WEST 72 STREET","10023","1030510","107",,"7J","RTEU","05/21/2021","H1","05/21/2021","20260427000000"
"2359427","CLOSED","01/24/2023","306","WEST 232 STREET","10463","2130749","208",,"10","ERT","01/24/2023","I2","01/24/2023","20260427000000"
"1075074","CLOSED","04/17/2000","256","WEST 38 STREET","10018","1014467","105",,"73","MAN.","05/05/2000","I2","04/26/2000","20260427000000"
"2234354","CLOSED","10/21/2016","2805","UNIVERSITY AVENUE","10468","2015332","208",,"45","ERT","11/30/2016","I2","11/30/2016","20260427000000"
"4782634","CLOSED","07/19/2019","99-45","67 ROAD","11375","4075088","406",,"5H","OBM","07/22/2019","I2","07/22/2019","20260427000000"
"4A06197","CLOSED","08/05/2025","74-01","85 DRIVE","11421","4180878","409",,"35","QNS.","10/17/2025","H1","10/16/2025","20260427000000"
"3925896","CLOSED","09/07/2023","200","FRANKLIN STREET","11222","3064253","301",,"6S","ELEVR","10/11/2023","B2","10/10/2023","20260427000000"
"3582751","CLOSED","11/23/2016","271","LENOX ROAD","11226","3116275","317",,"4L","BEST","12/13/2016","L2","12/13/2016","20260427000000"
"1478954","CLOSED","05/13/2018","8","MANHATTAN AVENUE","10025","1055291","107",,"4A","SPOPS","05/22/2018","C2","05/22/2018","20260427000000"
"4340229","CLOSED","02/14/2008","111-12","39 AVENUE","11368","4044936","403",,"45","QNS.","03/04/2008","C2","02/28/2008","20260427000000"
"3291705","CLOSED","01/08/2009","5702","AVENUE N","11234","3221332","318",,"94","BKLYN","01/26/2009","C2","01/24/2009","20260427000000"
"4051498","CLOSED","12/18/1995","123-11","ROCKAWAY BEACH BOULEVARD","11694","4304997","414",,"63","ELEVR","04/08/1997","J2","03/05/1997","20260427000000"
"4527480","CLOSED","09/14/2012","68-43","147 STREET","11367","4142136","408",,"05","QNS.","10/02/2012","I2","10/01/2012","20260427000000"
"2103520","CLOSED","08/23/2007","1075","EDISON AVENUE","10465","2076434","210",,"05","BRONX","09/24/2007","I2","09/21/2007","20260427000000"
"4113464","CLOSED","08/15/2000","32-10","56 STREET","11377","4026039","401",,"45","QNS.","09/14/2000","A9","09/09/2000","20260427000000"
"4296279","CLOSED","02/27/2007","108-19","46 AVENUE","11368","4049441","404",,"45","QNS.","04/03/2007","C2","03/23/2007","20260427000000"
"5077229","CLOSED","03/06/2009","1216","BAY STREET","10305","5111279","501",,"21","ST.IS","03/19/2009","I2","03/17/2009","20260427000000"
"2275540","CLOSED","02/05/2019","280","EAST BURNSIDE AVENUE","10457","2129357","205",,"6M","ELEVR","02/11/2019","I2","02/07/2019","20260427000000"
"2438131","ACTIVE","04/07/2026","50","EAST 191 STREET","10468","2013932","207",,"74","SPOPS",,,,"20260427000000"
"1410469","CLOSED","11/18/2015","252","EAST 57 STREET","10022","1090233","106",,"4L","BEST","11/18/2015","I2","11/18/2015","20260427000000"
"1197784","CLOSED","07/02/2007","1703","2 AVENUE","10128","1048847","108",,"59","ELCTR","07/12/2007","A1","07/07/2007","20260427000000"
"1407527","CLOSED","10/09/2015","193","BOWERY","10002","1005678","103",,"2G","SPOPS","03/28/2016","I2","03/25/2016","20260427000000"
"3275190","CLOSED","08/05/2008","815","GRAVESEND NECK ROAD","11223","3194109","315",,"63","ELEVR","09/26/2008","A1","09/25/2008","20260427000000"
"3A12275","CLOSED","05/02/2025","4609","16 AVENUE","11204","3430081","312",,"23","CSE","05/21/2025","L2","05/21/2025","20260427000000"
"3071488","CLOSED","05/26/1999","1006","GREENE AVENUE","11221","3044179","303",,"54","BKLYN","06/16/1999","A9","06/03/1999","20260427000000"
"1585849","CLOSED","11/03/2021","14","MOTT STREET","10013","1001685","103",,"59","ELCTR","11/04/2021","A8","11/04/2021","20260427000000"
"3754069","CLOSED","05/27/2020","35","FRANKLIN STREET","11222","3065237","301",,"30","ERT","05/28/2020","I2","05/28/2020","20260427000000"
"2148635","CLOSED","08/08/2010","1337","BEACH AVENUE","10472","2092894","209",,"84","ERT","08/09/2010","I2","08/08/2010","20260427000000"
"4788831","CLOSED","09/09/2019","85-11","150 STREET","11435","4208352","408",,"09","QNS.","09/13/2019","I2","09/12/2019","20260427000000"
"4394608","CLOSED","03/27/2009","2509","COLLEGE POINT BOULEVARD","11354","4442207","407",,"30","QNS.","04/03/2009","I2","03/27/2009","20260427000000"
"3031469","CLOSED","10/08/1993","620","EAST    3 STREET","11218","3126633","312",,"32","BKLYN","11/08/1993","I2","10/14/1993","20260427000000"
"1408251","CLOSED","10/20/2015","408","WEST 130 STREET","10027","1059615","109",,"63","ELEVR","11/18/2015","H1","11/17/2015","20260427000000"
"3381370","CLOSED","06/20/2011","319","SMITH STREET","11231","3007261","306",,"10","BKLYN","06/20/2011","I2","06/20/2011","20260427000000"
"4351165","CLOSED","05/06/2008","164-44","CROSSBAY BOULEVARD","11414","4294680","410",,"83","QNS.","05/14/2008","A9","05/02/2008","20260427000000"
